Parameter,Mean,SD,Info,Unit
GA,30.05251142,6.123405268,Input,week
GA^2,961.6381046,371.3598961,Input,
log GA,3.393251543,0.208897659,Input,
FHR,145.1689498,9.638488079,Input,
FHR^2,21166.71233,2779.279052,Input,
log FHR,4.975662968,0.06724084,Input,
AT,26.03538813,3.446286591,GA,msec
AT/ET,0.161702549,0.022424617,GA,
EDV,71.16481735,19.77621806,GA,mm/sec
ET,161.6321461,11.76434099,GA+FHR,msec
PDV,136.0557192,39.15609088,GA,mm/sec
PEDRF,152.5744406,57.86405352,GA,-mm/sec
PEDRF/PSV,0.2622995,0.11102583,GA,
PSV,603.3512957,124.9610993,GA+FHR,mm/sec
SNV,255.1553767,77.88511545,GA,mm/sec
SNV/PSV,0.420866586,0.08480341,GA,
TSN,58.60067352,7.898605428,GA,msec
TSN/ET,0.364206606,0.052246928,GA,
